,0
0,
1,Highlands
2,Britain
3,Scotland
4,Fort William
5,Oxfordshire
6,Castle Leoch
7,Castle Leoch
8,Craigh na Dun
9,Leoch
10,Leoch
11,Edinburgh
12,Fort William
13,Oxfordshire
14,Oxfordshire
15,Newcastle
16,Lallybroch
17,Ardagh
18,Highlands
19,Lallybroch
20,Fort William
21,Bargrennan
22,Lallybroch
23,Lallybroch
24,Lallybroch
25,France
26,Leoch
27,Hampshire
28,Highlands
29,Highlands
30,Lallybroch
31,Lallybroch
32,Killin
33,Highlands
34,Wentworth
35,Wentworth
36,Lallybroch
37,Lallybroch
38,Lallybroch
39,Scotland
